Timestamp;1. Select your gender ;2.What is your profession role?;3.Select your age group;4.Level of education;1. What is your occupation?;2. What are the obligated taxes on corporate business? ;3. For which of the following corporate taxes do you believe a significant reform is needed?;4.  What are the key motivating factors in corporate income tax legislative reform?;5. Which are the most important areas in corporate legislative tax reform?;6. Do you believe that the legal tax reforms can be translated into positive change in practically?;7. Do you believe that the corporate legislative tax was the main priorities of this tax reform generally?;8. Does the corporate legislative tax reform is implemented as intended?;9. Does the communication and collaboration among reform stakeholders are adopted in the Tax Reform Process;10. Improvement of corporate tax administration encouraged Self-Assessment and registration of corporate companies. ;11. The use of Tax Identification Number (TIN) assisted corporate income tax compliance?;12. The administration reform of corporate income tax  enabled income tax compliance.;13. The administrative tax reforms increased taxpayer knowledge and awareness of corporate income tax;14. Since of corporate income tax administrative reformed, all companies voluntarily file their tax returns promptly;15. The present tax laws and policies are easy comprehensive and understandable.;16. Do you believe whether reforms have led to lower taxpayer compliance administrative burdens?;17. In your own opinion what is the overall success rate of various administrative tax reform measures in relation to corporate compliance? (Explain) ;18. The corporate tax policies and legislatives is reformed.;19. The tax laws have increased corporate income tax compliance;20. The new tax laws increased integrity of reports filled by corporates;21. The introduction of tax law has decreased the number of audit and transaction costs in corporate income tax;22. The policy tax reforms have decreased the number of fines & penalties on corporate;23. The corporate policy income tax reforms have decreased the number of corporate tax evaders and envisions. ;24. Corporate income tax reform has played a significant role in voluntary corporate tax compliance;25. Complexity in tax law   is necessary so that companies are treated fairly.;26. What should be done to improve the business taxation through this reform?;28. What are the most challenges of tax legislative reform?;Thank you so much for your time 
3/23/2023 10:16:42;Male;Manager;31-40 years old;Postgraduate;Business;Income Text, Payroll tax, Property tax, Corporate income tax;b) Corporate tax procedures;a) Legal purpose, b) Revenue need, c) Increase of spending, d) Administrative reasons;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy., c) Mitigating corruption in corporate income taxes;Yes;Yes;Yes;Yes;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;I don't have any idea ;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved.;a) Weak administrator capacity in legal compliance, c) Corruption in legal reform implementation, d) Lack of participation and communications with stakeholders;Thanks 
3/23/2023 10:43:09;Male;Manager;41-50 years old;Degree;Business;Others;c) Corporate tax administration;c) Increase of spending, d) Administrative reasons;c) Mitigating corruption in corporate income taxes;Yes;No;No;No;Agree;Disagreement;Strongly Agree;Agree;Strongly Agree;Disagreement;Agree;Taxation should be administered in the most appropriate way to promote the needs of society and the government and not to interfere with private interests.;Agree;Strongly Agree;Agree;Moderate;Disagreement;Strong Disagreement;Strongly Agree;Strong Disagreement;c) Tax legislatives are transformed and improved.;c) Corruption in legal reform implementation;Thank you my Brother see you Again Another Time if Allah says
3/23/2023 10:43:55;Male;Legal Officer;51 years and above;Secondary;Others, please specify: ............................;Payroll tax;b) Corporate tax procedures;a) Legal purpose;a) Reducing legal barriers of corporate return taxes;Yes;Yes;Yes;Yes;Strong Disagreement;Strong Disagreement;Disagreement;Moderate;Moderate;Moderate;Strong Disagreement;yes;Strongly Agree;Strong Disagreement;Disagreement;Disagreement;Moderate;Strong Disagreement;Disagreement;Disagreement;a) Business tax administrations are digitalized., d) Tax administrators’ legal capacities are improved., f) Encourages tax transparency in legal matters.;c) Corruption in legal reform implementation;yes
3/23/2023 10:48:23;Male;Manager;21-30 years old;Degree;Business;Payroll tax;b) Corporate tax procedures;e) To Stimulate economy growth;d) Achieving social goals;Yes;Yes;No;Yes;Strong Disagreement;Strong Disagreement;Strong Disagreement;Moderate;Strong Disagreement;Strong Disagreement;Strong Disagreement;the admin tax rate should be decreased due to  help people  with below povertyline;Strong Disagreement;Strong Disagreement;Strong Disagreement;Moderate;Moderate;Moderate;Moderate;Moderate;a) Business tax administrations are digitalized.;a) Weak administrator capacity in legal compliance;ok
3/23/2023 11:46:59;Male;Manager;31-40 years old;Postgraduate;Business;Corporate income tax;a) Corporate tax laws;f) Digitalization of business income taxes;d) Achieving social goals;Yes;No;Yes;Yes;Moderate;Disagreement;Agree;Moderate;Moderate;Disagreement;Moderate;The overal success ;Moderate;Disagreement;Moderate;Agree;Moderate;Disagreement;Moderate;Disagreement;a) Business tax administrations are digitalized., d) Tax administrators’ legal capacities are improved.;c) Corruption in legal reform implementation;Ok
3/29/2023 9:45:01;Male;Employee;31-40 years old;Degree;Business;Income Tax, Payroll tax, Property tax;c) Corporate tax administration;b) Revenue need, e) To Stimulate economy growth, f) Digitalization of business income taxes;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy., c) Mitigating corruption in corporate income taxes;Yes;Yes;No;No;Moderate;Agree;Moderate;Moderate;Disagreement;Disagreement;Disagreement;I do not have any opinion ;Agree;Moderate;Moderate;Moderate;Moderate;Moderate;Moderate;Moderate;b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved., g) Built tax legal knowledge base.;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, d) Lack of participation and communications with stakeholders, e) Lack of partners readiness of this reform;You Welcome
3/29/2023 10:00:03;Male;Employee;31-40 years old;Postgraduate;Others, please specify: ............................;Income Tax, Corporate income tax;a) Corporate tax laws;b) Revenue need, e) To Stimulate economy growth, f) Digitalization of business income taxes, g) International requirement;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy., c) Mitigating corruption in corporate income taxes, d) Achieving social goals;Yes;Yes;No;Yes;Agree;Agree;Agree;Strongly Agree;Agree;Disagreement;Disagreement;It's very high ;Agree;Agree;Agree;Disagreement;Disagreement;Agree;Agree;Disagreement;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved., e) Maximized acceptance of tax legitimacy, f) Encourages tax transparency in legal matters., g) Built tax legal knowledge base.;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, c) Corruption in legal reform implementation, e) Lack of partners readiness of this reform;Well come bro 
3/29/2023 10:04:48;Female;Others;51 years and above;Postgraduate;Business;Income Tax, Payroll tax, Property tax, Corporate income tax;a) Corporate tax laws;a) Legal purpose, b) Revenue need, f) Digitalization of business income taxes;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy., c) Mitigating corruption in corporate income taxes;No;Yes;No;Yes;Moderate;Strong Disagreement;Strong Disagreement;Strong Disagreement;Disagreement;Moderate;Disagreement;10%;Disagreement;Moderate;Strong Disagreement;Moderate;Disagreement;Moderate;Moderate;Disagreement;a) Business tax administrations are digitalized., c) Tax legislatives are transformed and improved., d) Tax administrators’ legal capacities are improved., e) Maximized acceptance of tax legitimacy, g) Built tax legal knowledge base.;a) Weak administrator capacity in legal compliance, c) Corruption in legal reform implementation, d) Lack of participation and communications with stakeholders;Thank you 
3/29/2023 10:14:29;Male;Employee;21-30 years old;Postgraduate;Business;Income Tax;a) Corporate tax laws;b) Revenue need;c) Mitigating corruption in corporate income taxes;Yes;Yes;No;No;Moderate;Agree;Agree;Agree;Disagreement;Moderate;Disagreement;we can Estimate the overall success rate of various administrative  50%, because there is number of steps that have been improved which is including pfm system, Employee trainings and tax payers awareness. ;Agree;Moderate;Strongly Agree;Agree;Disagreement;Agree;Moderate;Strong Disagreement;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., f) Encourages tax transparency in legal matters., g) Built tax legal knowledge base.;b) low taxpayer morale and compliance, c) Corruption in legal reform implementation;thanks to examine this important section 
3/29/2023 13:37:26;Male;Employee;31-40 years old;Postgraduate;Others, please specify: ............................;Payroll tax;c) Corporate tax administration;g) International requirement;a) Reducing legal barriers of corporate return taxes;Yes;Yes;No;No;Agree;Moderate;Moderate;Strongly Agree;Disagreement;Moderate;Moderate;60% have rate of success but it need more improvement of tax reform ;Agree;Agree;Moderate;Moderate;Disagreement;Disagreement;Moderate;Agree;d) Tax administrators’ legal capacities are improved.;b) low taxpayer morale and compliance;Thanks 
